id	tweet	label	hashtags
20	RT @LouDobbs: #TrumpWave – @realDonaldTrump: This will be the election of the Kavanaughs, the Caravans, law and order, and tax cuts. This w…	pro	TrumpWave
21	RT @mmmoonie: #LasVegasShooting   #StephenPaddock was a #democRAT 	pro	"LasVegasShooting	StephenPaddock	democRAT"
22	RT @BeSeriousUSA: #MAGABomber  We all know exactly what they mean by “globalists”. In Trump World it means “JEWS”. 	anti	MAGABomber
23	RT @TeaPainUSA: Trump is back to attackin’ Democrats the same day his #MAGABomber was arrested for tryin’ to assassinate half of the Democr…	anti	MAGABomber
24	RT @BlackWidow1928: This👇anti-Trump trollop finally gets fired+runs straight 2 #MeToo alarmist Ronan Farrow.  Looks like intimidation tacti…	pro	MeToo
25	RT @MuthrBear: @Evan_McMullin The fact that there is no criticism of the #MAGABomber from Trump here, but, rather, berating of the intended…	anti	MAGABomber
26	RT @Jmruggiero84: I also don’t care, or pay attention to farmers who are being gutted by Trump &amp; the rest of the #CorruptGOP. They’re fasci…	anti	CorruptGOP
27	RT @RudyGiuliani: #REALNEWS: Pres. Trump foreign policy succeeds again where predecessors failed. North and South Korea disarmed the Securi…	pro	REALNEWS
28	RT @yojoedave2002: @marceelias Enjoy this ruling while it lasts. This will NOT last with #GOPSCOTUS. There will be a time when perhaps thou…	anti	GOPSCOTUS
29	RT @1IronMan2018: Trump tweeted again that Republicans support #PreExistingConditions coverage. It's a lie.  Vote for Democrats: Pureval #O…	anti	"PreExistingConditions	O"
30	RT @Tombx7M: Some October surprise #FoxAndFriends #MorningJoe  #RedWave2018 #RedTsunami2018 #RedWave  #Trump #Maga #Qanon #kAG #MAGA #WWG1W…	pro	"FoxAndFriends	MorningJoe	RedWave2018	RedTsunami2018	RedWave	Trump	Maga	Qanon	kAG	MAGA	WWG1W"
31	RT @Boo3zero5: Since B4 Jan 20 2017, #Antifa &amp; liberals have been rioting &amp; ASSAULTING Trump supporters. The MSM especially @CNN has been c…	pro	Antifa
32	RT @HMAesq: Tonight #VA10 candidates @JenniferWexton and @RepComstock addressed the Muslim community.  Wexton was polished and congressiona…	anti	VA10
33	RT @acutely_aware: @politico #MAGAbomber Cesar Sayoc Jr. Thanks Trump. 	anti	MAGAbomber
34	RT @PalmerReport: Donald Trump's day so far:  - FBI arrests #MAGABomber Cesar Sayoc - This guy is a crazed Trump supporter - Jeff Sessions…	anti	MAGABomber
35	RT @SuMoh7: Please read and RT!  #TXpol #TXpolitics #TXlege #TX #Texas #Election2018  	anti	"TXpol	TXpolitics	TXlege	TX	Texas	Election2018"
36	RT @kilmeade: Listen to my full interview with former Trump Campaign Foreign Policy Adviser, @GeorgePapa19 on #TheBrianKilmeadeShow! @foxne…	pro	TheBrianKilmeadeShow
37	RT @LindaSuhler: 🇺🇸Do NOT miss President Donald J. Trump’s #MAGA🇺🇸 Rally Saturday, Oct 27, in Murphysboro, Illinois!  💥Murphysboro, IL 💥Sat…	pro	MAGA
38	RT @girl4_trump: Yea this happened few weeks ago but who the hell wld know? #MSM &amp; #democrats ignored this. Countless attacks on Republican…	pro	"MSM	democrats"
39	RT @SuMoh7: 🔁Give if you can on @DemsWork4USA fundraiser for #GunSense.  Support Democrats to defeat gun-lobby-funded Republicans 👉	anti	GunSense
40	RT @mikandynothem: On this #NationalPumpkinDay, let us remember why this country is GREAT again. It's because Donald J Trump left the lap o…	pro	NationalPumpkinDay
41	RT @Krm1285A: Trump Patriot Maga Train #0203  @MarkExDemocrat  @Michael00799877  @heyitsmeCarolyn  @VortexVixen45  @Razorsmack1  @grgbkr37…	pro	0203
42	RT @acupoker: And tRump want to welcome Putin to the US.  Think about that.. then go vote #VoteBlueNoMatterWho  	anti	VoteBlueNoMatterWho
43	"RT @FoxNews: .@GillianHTurner: ""@POTUS is deploying 800 troops to the southern border as the migrant caravans proceed through Mexico."" #Spe…"	pro	Spe
44	RT @anyidea: Hmm 🤔! I wonder why they let him go?? #Trump supporter fired for wearing #MAGA head wear, suit claims 	anti	"Trump	MAGA"
45	RT @OrigIntent: You know you’re winning when #Trump is causing Democrats to send bombs to each other.  @Lrihendry @LindaSuhler @mitchellvii…	pro	Trump
46	"RT @PassTheSalty: TRUMP PLEDGES to bring #MAGABomber suspect to justice.  Then added 👉 ""THE MEDIA also has a responsibility to set a civil…"	anti	MAGABomber
47	RT @Debber66: Does everyone remember when there was a terrorist attack on our embassy in #Benghazi and there was an upcoming election so th…	pro	Benghazi
48	RT @Quixotified: @realDonaldTrump 🇺🇸  Donald J. Trump is the enemy of the people.  🇺🇸  #MAGABomber  	anti	MAGABomber
49	RT @LindaSuhler: 🇺🇸Do NOT miss President Donald J. Trump’s #MAGA🇺🇸 Rally Friday, 10/26, in Charlotte, North Carolina!  💥Charlotte, NC 💥Frid…	pro	MAGA
50	RT @johnlundin: Donald J. Trump is a national security threat. Period.  #FridayFeeling	anti	FridayFeeling
51	"RT @Marion_aruaL: Will #Trump even notice #TyphoonYutu?  ""The Commonwealth of the Northern Marianas Islands (CNMI) became a territory of th…"	anti	"Trump	TyphoonYutu"
52	RT @TrumpMyPres: Well My! My! My! Confirmed:Group Behind the #MobInvasion Is Linked to @GeorgeSoros  	pro	MobInvasion
53	RT @realAliTweets: What cabinet position do you think Trump will offer the #MAGABomber, Cesar Sayok?  #MAGAVan	anti	"MAGABomber	MAGAVan"
54	RT @Cjlewis99: Send in the caravan and fake explosives prior to midterms. Can’t make this stuff, expect on Netflix #LiberalBombHoax https:/…	pro	LiberalBombHoax
55	RT @JessieJaneDuff: While the #FakeNews was drooling with hype that Cesar Sayoc is a bona fide Trump loving Republican, a social media inve…	pro	FakeNews
56	RT @BlueSea1964: 🚨 200 Liberal Hack Journalists Sign Letter Condemning Trump For Violence Against The Press!  #BluestarZone #VoteRedToSaveA…	pro	"BluestarZone	VoteRedToSaveA"
57	RT @fawfulfan: Texas Voters Complaining That Machines Keep Changing Their Senate Vote #TXSen 	anti	TXSen
58	RT @HaileyWheelgun: @marcorubio To recap: The #MAGABomber 's van was festooned with pro-Trump stickers. He was filmed at a Trump rally. His…	anti	MAGABomber
59	RT @LouDobbs: #LDTPoll: Do you think President Trump's unparalleled successes and achievements and bold support of Republican candidates wi…	pro	LDTPoll
60	"RT @SammyNavarro63: They even chanted #LockHerUp 😂😂😂   Bomber Won't Stop Trump Crowd in Charlotte From Chanting ""CNN Sucks!"" (VIDEO) https:…"	pro	LockHerUp
61	RT @LadyLibertyInEx: First Lady Melania Trump Welcomes Students to the White House Movie Theater 	pro	"BlackTwitter	Sa"
62	"RT @CuomoPrimeTime: #ClosingArgument: Even after bomb arrest, Trump won't change  @ChrisCuomo: ""After the arrest of one of his base, and sa…"	anti	ClosingArgument
63	RT @ProudResister: #MAGABomber arrested for assassination attempts of Trump critics and here’s a picture of his van. It’s covered in sticke…	anti	MAGABomber
64	RT @Resilience8448: Trump mulls plan to bar entry of all migrants at US-Mexico border 	pro	FoxNews
65	RT @Rosie: TRUMP IS RESPONSIBLE #VoteBlueToSaveAmerica	anti	VoteBlueToSaveAmerica
66	RT @USAFVet18: Friday evening TRUMP TRAIN... 😎👍🇺🇸 #CONSTITUTION #AmericaFirst  @MonicaBettsGOP   @ImabitcSumtimes @Serremmy   @grizzlemeist…	pro	"CONSTITUTION	AmericaFirst"
67	RT @DanCovfefe1: @LaunaSallai It’s kind odd that the stickers aren’t faded..   According to the #FakeNews media, Trump is hated and the who…	pro	FakeNews
68	RT @RejeanHebert1: WOW  don't these idiots realize that #Anons and Trump supporters work faster than the speed of light when collecting evi…	pro	Anons
69	RT @adamcbest: Cesar Sayoc, aka the #MAGABomber, isn’t an anomaly. There’s a pattern of violence committed by men radicalized by Trump rhet…	anti	MAGABomber
70	RT @land_terri: AMERICAN PEOPLE DO NOT WANT THOUSANDS OF  ILLEGAL IMMIGRANTS  FLOODING INTO OUR COUNTRY THIS IS A #DemocRATS #DeepState TAC…	pro	"DemocRATS	DeepState"
71	RT @LauraLoomer: What are the odds that @fbi captured #CesarSayocJr with a van covered in @realDonaldTrump stickers in Broward County, FL w…	pro	CesarSayocJr
72	RT @ouchinagirl: This #Woke American says it best❣️  ‘If we don’t stand up now we will loose this nation!’  ‘These midterms are the most im…	pro	Woke
73	RT @GW1stPOTUS: Let us celebrate &amp; follow these wonderful Women for Trump @GW1stPOTUS 🚂 #03  👠 @Just4RealGirls 👠 @karensutton_ 👠 @KimAReid3…	pro	03
74	RT @exoticgamora: Trump tweets at 7:18 am this morning and blames the #bombscare and anger on mainstream media news  He tweets on hateful c…	anti	bombscare
75	RT @frazmandemo: THE #MAGABomber  NAME IS CESAR SAYOC,.... HE IS A REGISTERED  REPUBLICAN... HIS VAN HAS PRO GOP AND PRO TRUMP STICKERS ALL…	anti	MAGABomber
76	RT @francismmaxwell: So what? Just because the #MAGABomber attended trump rallies, had trump stickers covering every inch of his van &amp; atte…	anti	MAGABomber
77	RT @President1Trump: Liberal media immediately goes after our guns! @POTUS says gun laws have ‘little to do’ with the #TreeOfLifeSynagogue…	pro	TreeOfLifeSynagogue
78	"RT @AMike4761: Grinning Trump Encourages ""Lock Him Up"" Chant Against George Soros!  Do you approve?                     #ma4t  "	pro	ma4t
79	RT @kelliwardaz: With just 12 days until the #midterms, the Arizona state troopers’ association withdraws support of progressive liberal De…	pro	midterms
80	RT @ZibaLady1: #VoteRedToSaveAmerica  GET OUT IN FORCE &amp; VOTE RED. SHOW THE DEMOCRATS THAT YOU WILL NOT ALLOW @NancyPelosi TO TAKE CONTROL…	pro	VoteRedToSaveAmerica
81	"RT @JamieOGrady: Here's the #MAGABomber taking selfie video at a Trump rally. ""You take a look at these people. You study these people."" ht…"	anti	MAGABomber
82	RT @FowardLeaning: .#MAGAt leader complains that news covering the bombs and #MAGABomber is not fully covering his #GOP in the midterms.…	anti	"MAGAt	MAGABomber	GOP"
83	RT @pastormarkburns: Pastor Burns speaking at Trump Hotel DC #WalkAway 	pro	WalkAway
84	RT @TeaPainUSA: Trump is back to attackin’ Democrats the same day his #MAGABomber was arrested for tryin’ to assassinate half of the Democr…	anti	MAGABomber
85	RT @mitchellvii: Hats don't make you #MAGA.   Signs don't make you #MAGA.   Ridiculous clown cars with Trump stickers everywhere don't make…	anti	"MAGA	MAGA"
86	RT @WBM_Law: We now come full circle in the #FLGov election  From the beginning @AndrewGillum attempted to cover his corruption and bad pol…	pro	FLGov
87	RT @JPW3775: #CaravanInvasion? #MAGABomber #FalseFlag?  There's a stench of desperation about @TheDemocrats   I hate to break to you but th…	pro	"CaravanInvasion	MAGABomber	FalseFlag"
88	"RT @APBTerrier: @DonaldJTrumpJr Dear #FakeNews, We the People signed ""our letter"" in 2016 presidential election and we will ""sign it"" again…"	pro	FakeNews
89	RT @MalcolmNance: This man is NOT a real President. #Trump has surrendered his role to defend America. A terror wave is underway &amp; he resor…	anti	Trump
90	RT @DeplorablAnnJoy: . @GinaaRocks knows YOUR VOTE MATTERS!🔴  #VoteRedToSaveAmerica 🔴  #RepublicansProduceJobs 🔴  #RepublicansStandForOurFl…	pro	"VoteRedToSaveAmerica	RepublicansProduceJobs	RepublicansStandForOurFl"
91	RT @fifty3percent: Clearly the #DemocratMedia wants us all to forget history. Sorry scumbags, we will never forget that the #CommunistDemoc…	pro	"DemocratMedia	CommunistDemoc"
92	"RT @Disqeet: OMGoodness Trumps #YoungBlackLeadershipSummit audience is yelling ""KILL THEM ALL"" after mentioning The Border wall in the vein…"	anti	YoungBlackLeadershipSummit
93	RT @Redhead4645: #ArmyOfTrump show up 11/6 	pro	ArmyOfTrump
94	RT @bella_inxs: #MAGA Patriots! Use tact &amp; caution thru the Nov 6th Election. I’ve noticed an increase of suspended accounts. Block trolls,…	pro	MAGA
95	RT @TeaPainUSA: Trump is back to attackin’ Democrats the same day his #MAGABomber was arrested for tryin’ to assassinate half of the Democr…	anti	MAGABomber
96	RT @SebGorka: Watch the #FAKENEWSindustrialComplex ignore it. 	pro	FAKENEWSindustrialComplex
97	RT @PalmerReport: Donald Trump gives utterly horrible speech after FBI arrests Trump supporter for sending bombs 	anti	M
98	RT @taradublinrocks: Fuck him so very much, because you know how much he’s enjoying being this awful #ImpeachTrump #WednesdayWisdom #MAGABo…	anti	"ImpeachTrump	WednesdayWisdom	MAGABo"
99	RT @sxdoc: #WINNING! Word is that Trump Supported Candidates are receiving over 36% of Black Voters and over 40% of Hispanic Voters; White…	pro	WINNING
100	RT @activist360: With the arrest of #MAGABomber Cesar Sayoc Jr., a man inspired by Trump to commit multiple assassinations — if you are a T…	anti	MAGABomber
101	RT @beth2_k3a: #FL Don't listen to the polls.  It is IMPERATIVE to vote Republican straight down the ballot if you want to keep lower taxes…	pro	FL
102	RT @Miduswell: Trump limits Congressional access to North Korea intelligence  Another #Hitler move by @realDonaldTrump   Trump wants to hid…	anti	Hitler
103	RT @NotThatGoat: #Translation Democrats write story about killing Trump but it’s his fault for pushing them to it. 	anti	Translation
104	RT @Rosie: donald trump and the cowardly GOP are responsible for all the unrest including the mail bombs - vote blue to save this nation #T…	anti	T
105	RT @mog7546: SUBURBAN WOMEN Are FED UP With The #Republican Party And Could Drive A #BlueWave  Politically moderate suburban women will be…	anti	"Republican	BlueWave"
106	"RT @CuomoPrimeTime: #ClosingArgument: Even after bomb arrest, Trump won't change  @ChrisCuomo: ""After the arrest of one of his base, and sa…"	anti	ClosingArgument
107	RT @trish_regan: .@David_Bossie on #MigrantCaravan: “@POTUS got elected because he said you have a country or you don’t. We need to build a…	pro	MigrantCaravan
108	RT @billmaher: For the sake of democracy, we have to move #Halloween far, far way from election day. Because @GOP voters are scared enough…	anti	Halloween
109	RT @chrizap: #Midterms2018 shaping up to be deja vu all over again. In 2016, one of the ways Trump won was by dominating the information ne…	anti	Midterms2018
110	RT @girl4_trump: So this happened.  #DonLemon really seems to be in the moment there. Stop pushing this #FalseFlagBombs bull💩#LemonIsJustaB…	pro	"DonLemon	FalseFlagBombs	LemonIsJustaB"
111	RT @AynRandPaulRyan: #MAGABomber Cesar Sayoc also goes by Cesar Altieri Randazoo. Most of his public posts are of him at Trump rallies.  ht…	anti	MAGABomber
112	RT @HuffPost: Melania Trump tweeted Friday that Bullying Prevention Month “reminds us that we have the power to #ChooseKind.” Twitter users…	anti	ChooseKind
113	RT @jmpepp: Angry Mobs don't send Bombs Republicans do! This is what a terrorist looks like! #TrumpBomber #MAGABomber #Republicanbomber #bo…	anti	"TrumpBomber	MAGABomber	Republicanbomber	bo"
114	RT @AnnaBD20: Trump to Rally in North Carolina for Mark Harris  in Key Congressional Toss-Up Race (NC9) #VoteRed #Midterms #JobsNotMobs htt…	pro	"VoteRed	Midterms	JobsNotMobs"
115	RT @JessieJaneDuff: While the #FakeNews was drooling with hype that Cesar Sayoc is a bona fide Trump loving Republican, a social media inve…	pro	FakeNews
116	RT @moa6enDaikh: #TerrorismofQatar  Iran and Qatar are the top countries in the international terrorism case. They are the two biggest coun…	anti	TerrorismofQatar
117	RT @AynRandPaulRyan: Here's #MAGABomber Cesar Sayoc (Cesar Altieri Randazzo) at a Trump rally. 	anti	MAGABomber
118	RT @GGal777: List of 613 acts of violence against the conservatives and Patriots.  	pro	"MAGA	QAnon	WalkAway	WWG1WGA"
119	"RT @FarLeftWatch: #ThrowbackThursday: That time we were told a ""racist, white supremacist, Trump supporter"" burned down a black church and…"	pro	ThrowbackThursday
120	RT @activist360: With the arrest of #MAGABomber Cesar Sayoc Jr., a man inspired by Trump to commit multiple assassinations — if you are a T…	anti	MAGABomber
121	RT @Pepenstein: Thanks for an inciteful &amp; timely thread @JayneQPatriot about the #FakeBombs, what #DemonRat criminals call #MAGABomber A no…	pro	"FakeBombs	DemonRat	MAGABomber"
122	"RT @FoxNews: Rep. @SteveScalise: ""We have an election in 13 days. That's where we settle our differences. Violence is never an answer."" #Tu…"	pro	Tu
123	RT @TempusSpiritus: President Trump, what are the chances that the suspicious packages were sent by a Conservative?  #FakeBombGate  #FakeBo…	pro	"FakeBombGate	FakeBo"
124	RT @Miduswell: Trump to give speech at Health and Human Services HQ Thursday  The most inhumane, and unhealthy #FakePresident in history, t…	pro	FakePresident
125	RT @_ImperatorRex_: So does that mean leftist Democrat #JamesHodgkinson, the nutcase who shot Rep Steve Scalise, found a father in Bernie S…	pro	JamesHodgkinson
126	RT @CPheagin: I believe President Trump is making the right decision.  It's great to see him stand up for the American people. #MAGA #Thurs…	pro	"MAGA	Thurs"
127	RT @President1Trump: PA Democrat caught on hot mic saying..”dogs are smarter than Police Officers”! #VoteDemsOut #VoteRedSaveAmerica2018 #S…	pro	"VoteDemsOut	VoteRedSaveAmerica2018	S"
128	RT @3DTruth: Not surprised @realDonaldTrump and @FoxNews is blaming the victims of the #MAGABomber bc they dared to say things Trump didn't…	anti	MAGABomber
129	RT @ArizonaKayte: Thank God for President Trump for all hes doing to deflect #Liberals from continuing to destroy this country. 🇺🇸  We love…	pro	Liberals
130	RT @mikandynothem: Democrats &amp; #FakeNews have just pissed off Republicans even more now trying to blame Trump supporters and #GOP for today…	pro	"FakeNews	GOP"
131	RT @RSF_en: Press freedom is witnessing a drastic decline in the US. With 2 weeks left until the election, do your part to #DefendPressFree…	anti	DefendPressFree
132	RT @LouDobbs: #LDTPoll: Do you think President Trump's unparalleled successes and achievements and bold support of Republican candidates wi…	pro	LDTPoll
133	RT @BetsyGervasi: TRUMP REALLY HAS SERIOUS CRAZY FRIENDS. #VoteBlueToSaveAmerica 	anti	VoteBlueToSaveAmerica
134	RT @schatz_rashad: Donald Trump is the antithesis of an American president.  Can we just start referring to him as a PINO?  #SaturdayMornin…	anti	SaturdayMornin
135	RT @DenbrotS: #GOPElectionFraud  @FBI must investigate. We cannot rely upon DOJ. This election must be challenged. @BetoORourke has enough…	anti	GOPElectionFraud
136	RT @Fuctupmind: This is how the FBI preserves evidence of a crime scene with super evil Trump supporter van. #SuperVan 	pro	SuperVan
137	RT @adamcbest: Cesar Sayoc, aka the #MAGABomber, isn’t an anomaly. There’s a pattern of violence committed by men radicalized by Trump rhet…	anti	MAGABomber
138	RT @Rosie: donald trump and the cowardly GOP are responsible for all the unrest including the mail bombs - vote blue to save this nation #T…	anti	T
139	RT @mog7546: #CNN panel aghast at #Trump's angry 3 a.m. tweet:   'He was elected to be president -- not a MENTAL PATIENT'  Trump sees himse…	anti	"CNN	Trump"
140	RT @CraigCo62: In My #GOP STate - Trump rally goer explains why he thinks Obama and Hillary 'probably mailed bombs to themselves' 	anti	GOP
141	"RT @Marion_aruaL: #Trump #FakeNews #HateSpeech  🔇 Shut him up! 🔇  ""The press corps’ new motto should read: “Just because the president said…"	pro	"Trump	FakeNews	HateSpeech"
142	"RT @CollierForTexas: On the ""Vote Democratic"" bus of the #FairShotTour, headed to San Marcos, and lots of west bound drivers giving us the…"	anti	FairShotTour
143	RT @democraticbear: Standing on behalf of humanity and not Trump is both courageous and brings further light to Trump's uselessness.  #Impe…	anti	Impe
144	RT @CeeLeeMusic: Trump is the real-world #AHSApocalypse⁠ ⁠   This is the single most important vote of our lifetime.   So vote like your li…	anti	AHSApocalypse
145	RT @whitford747: If only #Merkel, #Macron and all the unelected liberal bureaucrats in Brussels had listened and agreed with #Obama with hi…	pro	"Merkel	Macron	Obama"
146	RT @eavesdropann: 🚨🚨🚨 #NYT #DOUBLE #STANDARDS 🚨🚨🚨             As Left Claims Trump Incites Violence, 💣                             #NewYork…	pro	"NYT	DOUBLE	STANDARDS	NewYork"
147	RT @TeaPainUSA: The fact that the #MAGABomber lived in his van, but owned $7,000 of Trump-branded clothin’ is the perfect metaphor for Trum…	anti	MAGABomber
148	RT @ELINTNews: #BREAKING: Israeli helicopter gunships open fire on Hamas post in eastern Jabaliya in the Gaza Strip	pro	BREAKING
149	RT @WilDonnelly: Before Trump sent the tweet below, the FBI had already informed him who the #MAGABomber was. Despite that knowledge, he th…	anti	MAGABomber
150	"RT @AndyOstroy: Bravo, @JohnBrennan. I disagree only in that #Trump will never be ""presidential."" He is morally &amp; ethically bankrupt, is a…"	pro	Trump
151	RT @SassBaller: Here's #MAGABomber Cesar Sayoc  attacking the free press at a 2017 Trump rally in Florida. Wonder how he was radicalized...…	anti	MAGABomber
152	RT @WileELiberal: I haven't seen Trump's lethal combination of moron and asshole since I was in middle school.  #Masshole	anti	Masshole
153	RT @GuardTheConst: Retweet to overwhelm #Congress with notifications to support @realDonaldTrump to stop the #Democrat illegal alien invasi…	pro	"Congress	Democrat"
154	RT @girl4_trump: Shut up Costanza, no soup for you. Ever notice celebs never offer a compelling arguement as to why they hate #Trump? They…	pro	Trump
155	RT @docrocktex26: Trump throws 3 am tantrum over CNN saying he's not 'presidential' 	anti	"InstabilityInChief	AmericanSo"
156	"RT @freddyatton: @realDonaldTrump * #TrumpPoll  Dear Mr. Trump,  When you blame ""the Mainstream Media"" for a mail-bomb terrorist attack, yo…"	anti	TrumpPoll
157	RT @TRUMPMOVEMENTUS: Fox News’ Chris Wallace condemns Trump’s anti-media rhetoric when given free speech award 	pro	Fox
158	RT @StormIsUponUs: Once one of the most feared organized crime bosses in history calling for any measure necessary to disrupt the #MidtermE…	pro	MidtermE
159	RT @xtrixcyclex: 1. The Trump recession clouds the horizon thanks to his ridiculous trade war and #TaxScam bill which paid a $ multi-millio…	anti	TaxScam
160	RT @cowards_are_us: #Trump's WORDS INSPIRE MOB VIOLENCE! HE KNOWS IT &amp; HIS NATIONALIST PARTY IS UN-AMERICAN &amp; MUST B STOPPED! WE'RE TAKING…	anti	Trump
161	RT @LouDobbs: #LDTPoll: Do you agree with President Trump that sending U.S. troops is the only way to secure our border until enough radica…	pro	LDTPoll
162	RT @myserenity69: Let's make one thing perfectly clear:  #Trump and his hateful rhetoric are a dark &amp; dangerous cloud looming over democrac…	anti	Trump
163	RT @LouDobbs: #LDTPoll: Do you agree with President Trump that sending U.S. troops is the only way to secure our border until enough radica…	pro	LDTPoll
164	RT @activist360: With the arrest of #MAGABomber Cesar Sayoc Jr., a man inspired by Trump to commit multiple assassinations — if you are a T…	anti	MAGABomber
165	RT @GrahamLedger: Tonight: #Election bombs. The #media frame the suspicious #packages as the fault of #President #Trump. Also: The #Pentago…	pro	"Election	media	packages	President	Trump	Pentago"
166	RT @cheri4trump: ✝️AMEN✝️ Thank God For Him Sending This AWESOME Man To Be Our #POTUS And #MAGA #KAG #WeThePeople Needed #TRUMP ~ The #Best…	pro	"POTUS	MAGA	KAG	WeThePeople	TRUMP	Best"
167	RT @TrckDad: 	anti	Trump
168	RT @Jali_Cat: Dear @realDonaldTrump @POTUS @DHSgov @RAEngNews @SecPompeo @USMarineCorps @USArmy,   #BuildTheWall  Thank you.   Ps. If not,…	pro	BuildTheWall
169	RT @WellLivedLife: @jmo34667 @DonaldJTrumpJr The only people rioting, forming mobs, shutting down roads, inciting violence are #progressive…	pro	progressive
170	RT @jwheels74: We can’t even trust trump to use a secure phone line, and #MAGA folks say they trust this fool with running thee entire U.S.	anti	MAGA
171	RT @TravelingUS: #HEALTHCARE VOTES  @realDonaldTrump &amp; @TedCruz (and other @GOP Republicans) LIED ABOUT THEIR SUPPORT OF HEALTHCARE &amp; PRE-E…	anti	HEALTHCARE
172	RT @TeaPainUSA: Accordin’ to Trump, the #MAGABomber ain’t at fault. It’s the media for upsettin’ the poor feller.	anti	MAGABomber
173	RT @lauferlaw: I like candidates that lose who don’t attempt to buy radioactive material online to murder someone, ok.... @GOP #MAGABomber…	anti	MAGABomber
174	"RT @PalmerReport: Trump was asked just now if he's going to reach out to any of the #MAGABomber targets. He said ""I'll pass."" That was his…"	anti	MAGABomber
175	RT @KatTheHammer1: ANYONE SURPRISED THAT THE LEFT IS BLAMING TRUMP FOR THESE 'DEVICES'!? 😏  SAME OLD RHETORIC...  #FalseFlags   #VoteRedToS…	pro	"FalseFlags	VoteRedToS"
176	RT @PatrioticCindy: @Five🙋‍♀️I'm Fed up with #Democrats blaming everything on #Trump  refusing to take responsibility for their rhetoric No…	pro	"Democrats	Trump"
177	RT @HananyaNaftali: The important visit of PM Netanyahu to #Oman demonstrates deep understandings and growing cooperation between Israel an…	anti	Oman
178	RT @chuckgordon18: @MSNBC Trump wants everyone to shut up and do what he says.  I will never bend a knee to the tyrant trump. #VoteBlueToSa…	pro	VoteBlueToSa
179	RT @BlackWidow1928: This👇anti-Trump trollop finally gets fired+runs straight 2 #MeToo alarmist Ronan Farrow.  Looks like intimidation tacti…	pro	MeToo
180	RT @TempusSpiritus: President Trump, what are the chances that the suspicious packages were sent by a Conservative?  #FakeBombGate  #FakeBo…	pro	"FakeBombGate	FakeBo"
181	RT @lilbulli1031: Once again Obama was wrong and our ⁦@POTUS⁩ was right! The Paris Climate Accord was a joke.    #StableGenius #lilbulli 🇺🇸…	pro	"StableGenius	lilbulli"
182	RT @theClaudiaInez: Will Trump be as tough on the  domestic terrorist aka #MAGABomber  As he was on the FBI, former President, and former S…	anti	MAGABomber
